label,Protocol Type,Duration,Rate,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Radius
DDoS-RSTFINFlood,6,64,0.3298071531,567,54,54,54,0,54,83343831.92,0
DoS-TCP_Flood,6.33,64,4.290556192,581.33,54,66.3,54.79640359,2.822973165,57.04,82926067.47,4.010353307
DDoS-ICMP_Flood,1,64,33.39679911,441,42,42,42,0,42,83127993.93,0
DoS-UDP_Flood,17,64,4642.13301,525,50,50,50,0,50,83015696.38,0
DoS-SYN_Flood,6.11,65.91,6.202211257,644.6,57.88,131.6,67.95922987,23.11311146,57.88,82972999.18,32.71624254
Mirai-greeth_flood,47,64,1.954122905,6216,592,592,592,0,592,83698395.13,0
DDoS-SynonymousIP_Flood,6,64,1.902352867,567,54,54,54,0,54,83365480,0
Mirai-udpplain,6.66,79.77,493.2836359,973.23,62.4,166.71,93.90730504,35.34702893,94.41,83707173.31,48.12290307
DoS-UDP_Flood,16.89,65.73,16.88324003,1885.4,156.4,180.72,177.3948932,7.624943986,180.72,83007316.82,10.79298723
DDoS-SYN_Flood,6,64,11.24354696,569.4,54,56.4,54.1759765,0.6198492501,54.2,83089056.37,0.8781129708
DDoS-PSHACK_Flood,6.11,64.64,9.087881544,573.93,54,60.93,54.44495398,1.692072523,54.77,83330874.2,2.398779866
DDoS-TCP_Flood,6,64,17.33318126,567,54,54,54,0,54,83075921.33,0
DDoS-ICMP_Flood,1,75.46,0,441,42,42,42,0,42,83150047.38,0
DoS-TCP_Flood,6,64,0.2965156705,567,54,54,54,0,54,82943426.93,0
DDoS-ICMP_Flood,1,64,1.507148375,441,42,42,42,0,42,83150315.6,0
DoS-TCP_Flood,6.11,64.64,1.627960237,587.88,54,74.88,56.433378,6.330105488,55.16,82943431.13,8.960900809
DDoS-UDP_Flood,17,64,7752.316374,525,50,50,50,0,50,83102326.67,0
DoS-UDP_Flood,16.68,67.82,24151.39897,530,50,55,50.39663555,1.327509367,50.4,83011689.37,1.880409261
DDoS-SYN_Flood,6,64,50.09918777,567,54,54,54,0,54,83093981.15,0
DoS-UDP_Flood,17,64,21095.83339,525,50,50,50,0,50,83012428.32,0
DDoS-UDP_Flood,17,64,4124.115328,525,50,50,50,0,50,83123733.35,0
DDoS-ICMP_Flood,1,64,14.32837126,441,42,42,42,0,42,83149624.72,0
BenignTraffic,9.3,63.5,34.04822059,2733.2,77,817.5,356.4069444,332.1224511,817.5,0.005235219002,469.6920748
DoS-TCP_Flood,6,64,37.23935038,567,54,54,54,0,54,82925823.78,0
DDoS-ICMP_Flood,1,64,4972.500296,441,42,42,42,0,42,83128576.46,0
DDoS-TCP_Flood,5.94,63.36,0.3293883245,568.02,54,55.02,54.10586438,0.2991349781,54.06,83068547.06,0.4234948694
MITM-ArpSpoofing,6,64,3244.965758,363,66,66,66,0,66,5.51E-06,0
Mirai-greeth_flood,47,64,3.118460957,6216,592,592,592,0,592,83676994.78,0
DDoS-SynonymousIP_Flood,6,64,3.044594524,567,54,54,54,0,54,83362094.36,0
DDoS-TCP_Flood,6,64,114.0965697,567,54,54,54,0,54,83072244.96,0
DDoS-UDP_Flood,17,64,5555.451084,525,50,50,50,0,50,83106701.97,0
DDoS-SynonymousIP_Flood,6,64,11.65243047,567,54,54,54,0,54,83362640.06,0
DoS-TCP_Flood,6,64,0.3002222056,567,54,54,54,0,54,82943426.95,0
DDoS-ICMP_Flood,1,64,16.82780037,441,42,42,42,0,42,83128033.4,0
DDoS-ICMP_Flood,0.99,63.36,6.544965758,441.18,42,42.18,42.009,0.03923009049,42.18,83149812.24,0
DDoS-RSTFINFlood,6,64,20.43609433,567,54,54,54,0,54,83348228.76,0
DDoS-PSHACK_Flood,6,64,60.87311908,567,54,54,54,0,54,83331101.7,0
DDoS-RSTFINFlood,6,64,24.20743869,567,54,54,54,0,54,83344976.84,0
DDoS-UDP_Flood,17,64,8857.995581,525,50,50,50,0,50,83102400.48,0
DDoS-RSTFINFlood,6,64,2.104608206,567,54,54,54,0,54,83349321.34,0
DDoS-PSHACK_Flood,6,64,1.076698006,567,54,54,54,0,54,83330936.89,0
DDoS-UDP_Flood,15.61,81.75,9027.058915,551.37,50,64.87,51.4937875,3.62023701,58.51,83123585.27,5.165004022
DoS-SYN_Flood,6,64,0.2835616765,567,54,54,54,0,54,82981049.18,0
DDoS-RSTFINFlood,6,64,32.39657829,567,54,54,54,0,54,83344977.34,0
DDoS-PSHACK_Flood,6,64,2.529985186,567,54,54,54,0,54,83330936.63,0
DDoS-SYN_Flood,6,64,12.61511207,1310.8,84.16,165.76,123.2153909,38.99788648,123.04,83089437.9,55.14541412
DDoS-ICMP_Flood,0.99,72.91,3.081850485,442.44,42,43.44,42.08901522,0.345800049,42.18,83128755.47,0.4903974984
DoS-SYN_Flood,6,64,12.38972083,567,54,54,54,0,54,82980870.54,0
DDoS-SYN_Flood,6,64,18.8210844,567.32,54,54.32,54.01978116,0.07684445534,54.04,83090046.44,0.1089772219
DDoS-ICMP_Flood,1,64,0.8008418349,441,42,42,42,0,42,83149998.09,0
DDoS-UDP_Flood,17,64,8034.747371,525,50,50,50,0,50,83123582.61,0
DDoS-SYN_Flood,6,64,24.00957108,567,54,54,54,0,54,83089242.17,0
DDoS-UDP_Flood,17,64,5398.429353,525,50,50,50,0,50,83098539.87,0
